Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
_Z15_mm256_fmadd_psDv8_fS_S_	0.040604	0.040604	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x14000221c
_Z13_mm256_sub_psDv8_fS_	0.039480	0.039480	0.0	0.0	vtune_bench.exe	_Z13_mm256_sub_psDv8_fS_	avxintrin.h	0x140009a00
_Z15_mm256_fmadd_psDv8_fS_S_	0.037388	0.037388	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140002217
_Z15_mm256_fmadd_psDv8_fS_S_	0.027605	0.027605	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x14000335c
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+	0.026871	0.026871	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long long) const	stl_iterator.h	0x140003561
std::vector<unsigned char, std::allocator<unsigned char>>::data	0.026584	0.026584	0.0	0.0	vtune_bench.exe	std::vector<unsigned char, std::allocator<unsigned char>>::data(void) const	stl_vector.h	0x1400031a0
_Z21_mm256_extractf128_psDv8_fi	0.026212	0.026212	0.0	0.0	vtune_bench.exe	_Z21_mm256_extractf128_psDv8_fi	avxintrin.h	0x140002c57
_Z15_mm256_fmadd_psDv8_fS_S_	0.026090	0.026090	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140009a19
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+	0.025749	0.025749	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long long) const	stl_iterator.h	0x140001840
_Z16_mm256_storeu_psPfDv8_f	0.025629	0.025629	0.0	0.0	vtune_bench.exe	_Z16_mm256_storeu_psPfDv8_f	avxintrin.h	0x14000673e
